id,license,file_name,height,width,date_captured,extra,file_path
0,1,cl6e1qges001kgk555z158f33_2_FALSE_COLOR_jpg.rf.479904c9e54c6ba121689341598bf3ed.jpg,860,1200,2025-09-14T12:06:19+00:00,{'name': 'cl6e1qges001kgk555z158f33_2_FALSE_COLOR.jpg'},data/images/cl6e1qges001kgk555z158f33_2_FALSE_COLOR_jpg.rf.479904c9e54c6ba121689341598bf3ed.jpg
1,1,cl6kgm9qr002yc455g5qs87kz_2_FALSE_COLOR_jpg.rf.95debd80b7509cc0a6afe0a7c7ff6cfe.jpg,860,1200,2025-09-14T12:06:19+00:00,{'name': 'cl6kgm9qr002yc455g5qs87kz_2_FALSE_COLOR.jpg'},data/images/cl6kgm9qr002yc455g5qs87kz_2_FALSE_COLOR_jpg.rf.95debd80b7509cc0a6afe0a7c7ff6cfe.jpg
2,1,cl6odzs5e002oao55heuig0a6_1_TRUE_COLOR_jpg.rf.fc96fcc9ef8466ce18f286d422df48ea.jpg,860,1200,2025-09-14T12:06:19+00:00,{'name': 'cl6odzs5e002oao55heuig0a6_1_TRUE_COLOR.jpg'},data/images/cl6odzs5e002oao55heuig0a6_1_TRUE_COLOR_jpg.rf.fc96fcc9ef8466ce18f286d422df48ea.jpg
3,1,cl6b6pieh007rl455fwvb73gr_1_TRUE_COLOR_jpg.rf.8f3f9c84272e40682f7f430cdc4ac4c0.jpg,860,1200,2025-09-14T12:06:19+00:00,{'name': 'cl6b6pieh007rl455fwvb73gr_1_TRUE_COLOR.jpg'},data/images/cl6b6pieh007rl455fwvb73gr_1_TRUE_COLOR_jpg.rf.8f3f9c84272e40682f7f430cdc4ac4c0.jpg
4,1,cl6b5k38g003zl455bgtd1317_4_FALSE_COLOR__URBAN_jpg.rf.fcaa4827b85c1b38fdedffcd6a3b098f.jpg,860,1200,2025-09-14T12:06:19+00:00,{'name': 'cl6b5k38g003zl455bgtd1317_4_FALSE_COLOR__URBAN.jpg'},data/images/cl6b5k38g003zl455bgtd1317_4_FALSE_COLOR__URBAN_jpg.rf.fcaa4827b85c1b38fdedffcd6a3b098f.jpg
5,1,cl6cswt5400gdl4554rn2gjz9_1_TRUE_COLOR_jpg.rf.e410a3d52182432dc9d14d9b24b69cb0.jpg,860,1200,2025-09-14T12:06:19+00:00,{'name': 'cl6cswt5400gdl4554rn2gjz9_1_TRUE_COLOR.jpg'},data/images/cl6cswt5400gdl4554rn2gjz9_1_TRUE_COLOR_jpg.rf.e410a3d52182432dc9d14d9b24b69cb0.jpg
6,1,cl6orry9200a0ao559gb82ms0_1_TRUE_COLOR_jpg.rf.cc9619d3a597ceaf2853dd8c2ee86be7.jpg,860,1200,2025-09-14T12:06:19+00:00,{'name': 'cl6orry9200a0ao559gb82ms0_1_TRUE_COLOR.jpg'},data/images/cl6orry9200a0ao559gb82ms0_1_TRUE_COLOR_jpg.rf.cc9619d3a597ceaf2853dd8c2ee86be7.jpg
7,1,cl6oputjf007wao55fnke0ppv_2_FALSE_COLOR_jpg.rf.1895fbee9d0e59032e22514133629026.jpg,860,1200,2025-09-14T12:06:19+00:00,{'name': 'cl6oputjf007wao55fnke0ppv_2_FALSE_COLOR.jpg'},data/images/cl6oputjf007wao55fnke0ppv_2_FALSE_COLOR_jpg.rf.1895fbee9d0e59032e22514133629026.jpg
8,1,cl6op0cny006bao55hefn0jyf_2_FALSE_COLOR_jpg.rf.de2937d7380d94b2a24472a7744afe9b.jpg,860,1200,2025-09-14T12:06:19+00:00,{'name': 'cl6op0cny006bao55hefn0jyf_2_FALSE_COLOR.jpg'},data/images/cl6op0cny006bao55hefn0jyf_2_FALSE_COLOR_jpg.rf.de2937d7380d94b2a24472a7744afe9b.jpg
9,1,cl6op9m80006sao552sp0bgyl_2_FALSE_COLOR_jpg.rf.bee0f2e3b76eaaae3f5309ba40f22e89.jpg,860,1200,2025-09-14T12:06:19+00:00,{'name': 'cl6op9m80006sao552sp0bgyl_2_FALSE_COLOR.jpg'},data/images/cl6op9m80006sao552sp0bgyl_2_FALSE_COLOR_jpg.rf.bee0f2e3b76eaaae3f5309ba40f22e89.jpg
